rowid,pscis_crossing_id,my_crossing_reference,source,easting,northing,geometry,utm_easting,utm_northing,utm_east_diff,utm_north_diff
5,6824,NA,pscis_reassessments.xlsm,536665,6076345,"c(1228737.41337772, 1098346.01595371)",536665,6076345,-385091.9926274618,-19656.511487763375
6,6731,NA,pscis_reassessments.xlsm,532823,6072543,"c(1225069.27651952, 1094373.6408561)",532823,6072543,-385424.44617138035,-19332.711749754846
7,125000,NA,pscis_reassessments.xlsm,577540,6038199,"c(1271098.93036939, 1061836.81839295)",577540,6038199,-388308.5480654654,-23207.79125891067
8,124963,NA,pscis_reassessments.xlsm,559940,6046827,"c(1253190.2525776, 1069742.98959478)",559940,6046827,-387590.25291972293,-21692.26386646554
9,125179,NA,pscis_reassessments.xlsm,570307,6052836,"c(1263268.01043069, 1076201.48291738)",570307,6052836,-387063.5731084881,-22572.846677733585
