rowid,pscis_crossing_id,my_crossing_reference,source,easting,northing,geometry,utm_easting,utm_northing,utm_east_diff,utm_north_diff
5,125194,NA,pscis_phase2.xlsm,563293,6050578,"c(1256372.93394145, 1073643.40159407)",563293,6050578,-387264.86609879334,-21975.148879451677
6,6745,NA,pscis_phase2.xlsm,533992,6076165,"c(1226080.69022379, 1098052.96189272)",533992,6076165,-385112.1640732264,-19427.654709762894
7,125261,NA,pscis_phase2.xlsm,534600,6067770,"c(1227043.23236643, 1089664.93636152)",534600,6067770,-385831.39261968643,-19492.933868473396
