reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,42,0.8,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,43,0.8,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,42,0.7,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,44,1,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,45,0.9,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,34,0.5,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,44,0.9,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,44,0.9,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,39,0.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,40,0.7,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,39,0.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,49,1.3,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Sculpin (General),61,2.5,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Sculpin (General),56,1.7,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,33,0.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,45,0.8,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,35,0.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,41,0.7,,,,,,,,mortality
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,40,0.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,45,0.9,,,,,,,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,41,1,,,,,,,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,39,1,,,,,,,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,95,9.5,,,,,,,,3DD.003E1929AF. Row ID 28.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,98,9.4,,,,,,,,3DD.003E1929C2. Row ID 29.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,89,8,,,,,,,,3DD.003E1929BC. Row ID 30.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,98,10.6,,,,,,,,3DD.003E1929DD. Row ID 31.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,81,5.8,,,,,,,,3DD.003E1929F8. Row ID 32.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Sculpin (General),60,2.5,,,,,,,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Sculpin (General),46,1.1,,,,,,,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,electrofishing,1,1,Rainbow Trout,37,1.4,,,,,,,,
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,129,24.8,,,,,,,,3DD.003E1929AC. Row ID 33.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,109,14.5,,,,,,,,3DD.003E1929BE. Row ID 34.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,110,15.8,,,,,,,,3DD.003E1929C6. Row ID 35.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,95,9.8,,,,,,,,3DD.003E1929B9. Row ID 36.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,84,6,,,,,,,,3DD.003E1929DA. Row ID 37.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,89,8.3,,,,,,,,3DD.003E1929CC. Row ID 38.
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,98,9.5,,,,,,,,mortality
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,88,,,,,,,,,mortality
12,Tributary to Parsnip River,125000_ds_ef3,00000PARS,0,12,electrofishing,1,1,Rainbow Trout,39,0.6,,,,,,,,
13,Tributary to Parsnip River,125180_us_ef1,00000PARS,0,13,electrofishing,1,1,Rainbow Trout,79,,,,,,,,,3DD.003.E192A00
13,Tributary to Parsnip River,125180_us_ef1,00000PARS,0,13,electrofishing,1,1,Rainbow Trout,109,,,,,,,,,3DD.003.E1929FB
