"id","stream_name","habitat_value","map_link","image_view_url","pscis_status","barrier_status","barriers_bt_dnstr","bt_network_km","bt_stream_km","bt_lakereservoir_ha","bt_wetland_ha","bt_slopeclass03_waterbodies_km","bt_slopeclass03_km","bt_slopeclass05_km","bt_slopeclass08_km","bt_slopeclass15_km","bt_spawning_km","bt_rearing_km","bt_spawning_belowupstrbarriers_km","bt_rearing_belowupstrbarriers_km","utm_easting","utm_northing","gradient_gis","road_name","outlet_drop","channel_width","assessment_comment","geometry"
"1003700009","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.34","9.03","0","0","0.31","3.39","4.21","0.84","0.59","0","1.67","0","0.12","519282","6053039","0.025","","","","","[object Object]"
"1003700010","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","411.53","344.43","0","0","62.97","59.3","59.19","87.94","125.18","39.16","77.29","15.04","26.53","519142","6053232","0.0034","","","","","[object Object]"
"1003700015","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19.19","13.74","0","0","4.6","7.09","2.64","2.84","1.4","1.94","3.31","0.19","0.19","517172","6054491","0.0443","","","","","[object Object]"
"1003700019","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","100.53","81.62","0","0","19.49","27.18","19","16.22","17.96","13.59","28.53","2.48","5.37","514820","6059955","0.0012","","","","","[object Object]"
"1003700024","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","27.89","26.61","0","0","1.23","2.06","4.7","8.11","10.47","2.5","3.95","1.2","2.56","510944","6072479","0.0241","","","","","[object Object]"
"1003700033","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19.09","18.61","0","0","0.49","7.16","3.7","4.24","3.51","2.9","5.06","0.08","0.08","518950","6049401","0.0091","","","","","[object Object]"
"1003700034","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.46","6.75","0","0","0.65","2.2","2.1","2.5","0","0.48","1.22","0.14","0.14","518780","6049013","0","","","","","[object Object]"
"1003700052","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","115.43","94.42","0","0","20.02","29.36","20.08","19.56","24.5","21.35","38.41","0.16","2.16","521698","6037313","0","","","","","[object Object]"
"1003700053","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.54","3.54","0","0","0","0","0.46","1.85","1.23","0","1.85","0","0.38","537136","6033045","0.0516","","","","","[object Object]"
"1003700055","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","4.17","2.9","0","0","1.21","1.11","0","0.22","1.47","0.87","2.2","0.66","0.66","519297","6042654","0.0049","","","","","[object Object]"
"1003700056","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","11.67","10.79","0","0","0.79","1.36","2.22","2.75","3.31","2.01","2.63","0.06","0.09","533642","6024647","0.016","","","","","[object Object]"
"1003700068","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","6.35","4.29","0","0","2.05","3.1","0.86","0.33","0","3.09","4.8","1.04","2.75","510803","6046324","0.0127","","","","","[object Object]"
"1003700069","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","45.13","41.22","0","0","3.7","25.63","10.79","2.91","1.94","5.42","7.54","5.15","5.91","497931","6058600","0.0133","","","","","[object Object]"
"1003700071","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","37.58","30.28","0","0","7.23","17.49","6.75","4.2","1.81","3.65","8.31","2.15","3.9","494919","6052527","0.0014","","","","","[object Object]"
"1003700113","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","10.89","10.69","0","0","0.2","0.18","1.05","1.97","7.49","0","1.12","0","1.12","523509","6064961","0.0523","","","","","[object Object]"
"1003700137","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","25.37","22.5","0","0","2.51","6.21","7.16","5.21","4.03","2.25","4.66","2.25","4.64","517645","6059949","0.0274","","","","","[object Object]"
"1003700152","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.5","2.23","0","0","1.21","0.44","0","0.22","1.47","0.2","1.53","0.2","1.53","519521","6042071","0.0032","","","","","[object Object]"
"1003700158","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.46","7.46","0","0","0","0.24","2.94","3.67","0.63","0","1.43","0","1.43","514595","6042933","0.0328","","","","","[object Object]"
"1003700159","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","5.7","5.7","0","0","0","0","1.04","4.1","0.56","0","1.11","0","0.07","514552","6042473","0.0333","","","","","[object Object]"
"1003700166","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","4.76","3.16","0","0","1.6","2.19","0.97","0","0","1.03","2.2","1.03","2.2","527239","6017934","0.0337","","","","","[object Object]"
"1003700171","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","10.7","10.58","0","0","0.11","0.56","4","4.1","1.85","0.73","1.79","0.37","0.36","512615","6050622","0.0297","","","","","[object Object]"
"1003700192","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","122.67","99.16","0","0","22.45","31.18","21.28","19.84","26.02","21.53","40.67","0.06","0.13","520584","6037946","0","","","","","[object Object]"
"1003700195","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","1.96","1.96","0","0","0","1.09","0","0.09","0.78","1.09","1.09","1.09","1.09","523590","6021467","0.0287","","","","","[object Object]"
"1003700201","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19","13.55","0","0","4.6","7.09","2.45","2.84","1.4","1.75","3.12","1.21","2.58","517351","6054554","0.0033","","","","","[object Object]"
"1003700214","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","65.05","55.18","0","0","9.7","8.06","8.25","11.25","25.72","6.27","12.83","0.48","0.96","525254","6068210","0.0077","","","","","[object Object]"
"1003700255","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","22.45","16.21","0","0","6.17","4.18","2.97","5.05","4.08","0.14","4.04","0.14","2.02","502166","6070767","0.012","","","","","[object Object]"
"1003700256","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","34.96","23.16","0","0","11.67","8.47","4.68","5.55","4.59","1.07","7.23","0.48","1.17","502344","6068522","0.0226","","","","","[object Object]"
"1003700283","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","20.27","17.61","0","0","2.43","4.23","6.12","2.73","3.57","2.13","3.93","1.28","1.64","485361","6054274","0.0097","","","","","[object Object]"
"1003700291","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","4.78","3.85","0","0","0.91","1.54","1.2","0","1.13","2.04","2.81","0.41","0.85","516231","6039255","0.034","","","","","[object Object]"
"1003700296","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","11.57","9.9","0","0","1.65","0.68","3.82","2.69","2.64","0.25","1.86","0.25","1.55","509648","6041159","0.0264","","","","","[object Object]"
"1003700304","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","34.02","28.2","0","0","5.73","8.72","5.23","7.18","6.35","6.37","11.6","1.25","2.88","511070","6046209","0.0226","","","","","[object Object]"
"1003700311","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.79","8.25","0","0","0.55","7.27","0.73","0","0.25","1.27","1.27","0.04","0.04","512080","6037553","0.0171","","","","","[object Object]"
