rowid,my_crossing_reference,road_tenure,transport_line_structured_name_1,my_road_tenure
5,16603769,,,
6,372413,,Firth Lake FSR, Resource Demographic
7,16601271,,, Unclassified
8,2022081750,,, Unclassified
