rowid,pscis_crossing_id,road_tenure,transport_line_structured_name_1,my_road_tenure
5,6824,,Chuchinka-Crocker FSR, Resource Demographic
6,6731,,Chuchinka-Colbourne FSR, Resource Demographic
7,125000,,Chuchinka-Arctic FSR, Resource Demographic
8,124963,,Chuchinka-Arctic FSR, Resource Demographic
9,125179,,Chuchinka-Missinka FSR, Resource Demographic
